id,version,method,target_x,target_y,sourceCenter_x,sourceCenter_y,sourceRadius,source_x,source_y,visited
asia-017,0.0.3,BFS,1306,1035,1564,1198,263,1332,1075,8366
asia-018,0.0.3,A*,1344,587,1259,928,57,1246,873,3011
asia-018,0.0.3,BFS,1344,587,1259,928,57,1246,873,129500
asia-019,0.0.3,A*,1127,1052,1254,615,440,1139,1038,160
asia-019,0.0.3,BFS,1127,1052,1254,615,440,1139,1039,532
asia-020,0.0.3,BFS,845,815,1243,963,312,934,927,21662
asia-021,0.0.3,A*,1115,826,1306,1184,405,1116,827,61
asia-021,0.0.3,BFS,1115,826,1306,1184,405,1116,827,1
asia-022,0.0.3,A*,1129,195,689,209,411,1097,194,174
asia-022,0.0.3,BFS,1129,195,689,209,411,1099,194,743
asia-023,0.0.3,BFS,93,749,28,360,292,297,248,1229438
asia-024,0.0.3,A*,1514,1130,1260,1141,224,1483,1120,277
asia-024,0.0.3,BFS,1514,1130,1260,1141,224,1483,1120,1743
asia-025,0.0.3,BFS,338,892,168,1164,243,317,973,9421
asia-026,0.0.3,A*,1553,371,1412,658,304,1515,372,174
asia-026,0.0.3,BFS,1553,371,1412,658,304,1515,372,1573
asia-027,0.0.3,A*,1528,480,1598,178,286,1522,451,214
asia-027,0.0.3,BFS,1528,480,1598,178,286,1522,453,985
